ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0517880857,What Smart Students Know : Maximum Grades. Optimum Learning. Minimum Time.,ADAM ROBINSON,1993,Three Rivers Press,http://images.amazon.com/images/P/0517880857.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517880857.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517880857.01.LZZZZZZZ.jpg
0898795575,"How You Can Make $25,000 a Year Writing",Nancy E Hanson,0,Writers Digest/see F&amp;w,http://images.amazon.com/images/P/0898795575.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0898795575.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0898795575.01.LZZZZZZZ.jpg
0812506332,"Heathcliff: The Best of Friends (Here's Heathcliff, Volume V)",Geo Gately,1989,Tor Books,http://images.amazon.com/images/P/0812506332.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812506332.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812506332.01.LZZZZZZZ.jpg
0440217709,"The Five-Minute Lawyer's Guide to Bad Debts, Credit Problems, and Bankruptcy (Five Minute Lawyer Series)",Michael Allan Cane,1995,Dell Publishing Company,http://images.amazon.com/images/P/0440217709.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440217709.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440217709.01.LZZZZZZZ.jpg
0440220742,21st Century Manual of Style,"Barbara Ann, Ph.D. Kipfer",1995,Dell Publishing Company,http://images.amazon.com/images/P/0440220742.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440220742.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440220742.01.LZZZZZZZ.jpg
0448102773,"The Boy Who Didn't Believe in Christmas: Santa Claus, the Movie (Santa Claus : the Movie)",Michael Teitelbaum,1985,Grosset &amp; Dunlap,http://images.amazon.com/images/P/0448102773.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0448102773.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0448102773.01.LZZZZZZZ.jpg
0590458019,"Monkey See, Monkey Do (Hello Reader, Level 1)",Marc Gave,1993,Scholastic,http://images.amazon.com/images/P/0590458019.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590458019.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590458019.01.LZZZZZZZ.jpg
0875790380,The Bonsai,Carroll Hofeling Morris,1986,Deseret Book Co,http://images.amazon.com/images/P/0875790380.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875790380.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875790380.01.LZZZZZZZ.jpg
0875790186,The shadow taker,Blaine M Yorgason,1985,Deseret Book Co,http://images.amazon.com/images/P/0875790186.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875790186.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875790186.01.LZZZZZZZ.jpg
0875790348,Becoming,Blaine M. Yorpason,1986,Deseret Book Company,http://images.amazon.com/images/P/0875790348.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875790348.01.LZZZZZZZ.jpg
0590452347,Weather (First Discovery Book),Pascale De Bourgoing,1991,Scholastic,http://images.amazon.com/images/P/0590452347.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590452347.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590452347.01.LZZZZZZZ.jpg
0875790771,Saddle Shoe Blues,Carroll Hofeling. Morris,1987,Deseret Book Company,http://images.amazon.com/images/P/0875790771.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875790771.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875790771.01.LZZZZZZZ.jpg
1565650999,Understanding &amp; Encouraging Your Child's Art: How to Enhance Confidence in Drawing Ages 2 to 12,Mia Johnson,1994,McGraw-Hill,http://images.amazon.com/images/P/1565650999.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565650999.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565650999.01.LZZZZZZZ.jpg
0451168283,Atlas Shrugged/35th Anniversary Edition,Ayn Rand,1992,Signet,http://images.amazon.com/images/P/0451168283.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451168283.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451168283.01.LZZZZZZZ.jpg
0786706368,The Secret Cases of Sherlock Holmes,Donald Thomas,1999,Carroll &amp; Graf Publishers,http://images.amazon.com/images/P/0786706368.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786706368.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786706368.01.LZZZZZZZ.jpg
0373288921,"Sparhawk Bride (Harlequin Historical, #292)",Miranda Jarrett,1995,Harlequin,http://images.amazon.com/images/P/0373288921.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373288921.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373288921.01.LZZZZZZZ.jpg
0898864593,Lou Whittaker: Memoirs of a Mountain Guide,Lou Whittaker,1995,Mountaineers Books,http://images.amazon.com/images/P/0898864593.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0898864593.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0898864593.01.LZZZZZZZ.jpg
0373288859,"Desert Rogue (Harlequin Historical, No 285)",Erin Yorke,1995,Harlequin,http://images.amazon.com/images/P/0373288859.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373288859.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373288859.01.LZZZZZZZ.jpg
1576581500,Light the Window: Praying Through the Nations of the 10/40 Window,Floyd McClung,1999,YWAM Publishing,http://images.amazon.com/images/P/1576581500.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1576581500.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1576581500.01.LZZZZZZZ.jpg
0465007805,The Clock of the Long Now: Time and Responsibility: The Ideas Behind the World's Slowest Computer,Stewart Brand,2000,Basic Books,http://images.amazon.com/images/P/0465007805.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0465007805.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0465007805.01.LZZZZZZZ.jpg
857164554X,"Estranhos estrangeiros ;: E, Pela noite",Caio Fernando Abreu,1996,Companhia das Letras,http://images.amazon.com/images/P/857164554X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/857164554X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/857164554X.01.LZZZZZZZ.jpg
0821737864,Temptation's Fire (Heartfire Romance),Millie Criswell,1992,Kensington Pub Corp (Mm),http://images.amazon.com/images/P/0821737864.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821737864.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821737864.01.LZZZZZZZ.jpg
0830690182,"Making potpourri, soaps &amp; colognes: 102 natural recipes",David A Webb,1988,Tab Books,http://images.amazon.com/images/P/0830690182.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0830690182.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0830690182.01.LZZZZZZZ.jpg
0449910091,The Gutenberg Elegies : The Fate of Reading in an Electronic Age,SVEN BIRKERTS,1995,Ballantine Books,http://images.amazon.com/images/P/0449910091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449910091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449910091.01.LZZZZZZZ.jpg
0441091784,Carrie Loves Superman (Caprice Romance),Gloria Miklowitz,1983,Ace Books,http://images.amazon.com/images/P/0441091784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441091784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441091784.01.LZZZZZZZ.jpg
1565076389,The Stay-At-Home Mom,Donna Otto,1997,Harvest House Publishers,http://images.amazon.com/images/P/1565076389.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565076389.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565076389.01.LZZZZZZZ.jpg
0486291529,Favorite Piano Classics: 83 Best-Loved Works,Ronald Herder,1996,Dover Publications,http://images.amazon.com/images/P/0486291529.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486291529.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486291529.01.LZZZZZZZ.jpg
0884944719,The Divine Center,Stephen R. Covey,1982,Deseret Book Co,http://images.amazon.com/images/P/0884944719.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0884944719.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0884944719.01.LZZZZZZZ.jpg
0875797083,How to Pick a Family Flick,Chris Hicks,1993,Deseret Book Company,http://images.amazon.com/images/P/0875797083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875797083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875797083.01.LZZZZZZZ.jpg
0875790240,Teaching Children Charity: A Program to Help Teens and Preteens Forget Themselves,Linda Eyre,1986,Deseret Book Company,http://images.amazon.com/images/P/0875790240.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875790240.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875790240.01.LZZZZZZZ.jpg
0877476713,Helping your children stay morally clean,Allan K Burgess,1984,Deseret Book,http://images.amazon.com/images/P/0877476713.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0877476713.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0877476713.01.LZZZZZZZ.jpg
0812933176,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,Gordon B. Hinckley,2000,Crown Publishers,http://images.amazon.com/images/P/0812933176.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812933176.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812933176.01.LZZZZZZZ.jpg
0882906232,The War to Save Our Kids: Raising G-rated Kids in an X-rated World,Richard P Lindsay,1998,Horizon Publishers &amp; Distributors,http://images.amazon.com/images/P/0882906232.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0882906232.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0882906232.01.LZZZZZZZ.jpg
0843931191,Tomahawk Revenge (Wilderness (Paperback)),David Thompson,1991,Leisure Books,http://images.amazon.com/images/P/0843931191.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843931191.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843931191.01.LZZZZZZZ.jpg
1862040788,The Elements of Visualization (The elements of),Ursula Markham,1997,Element Books Ltd.,http://images.amazon.com/images/P/1862040788.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1862040788.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1862040788.01.LZZZZZZZ.jpg
0307440117,The Mourning Dove: A Story of Love,Larry Barkdull,1997,Golden Books Publishing Company,http://images.amazon.com/images/P/0307440117.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0307440117.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0307440117.01.LZZZZZZZ.jpg
0517347725,Gray Fox: Robert E. Lee and the Civil War,Burke Davis,1992,Gramercy Books,http://images.amazon.com/images/P/0517347725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517347725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517347725.01.LZZZZZZZ.jpg
0312180519,Hush,Mark Nykanen,1998,St. Martin's Press,http://images.amazon.com/images/P/0312180519.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312180519.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312180519.01.LZZZZZZZ.jpg
0875799574,"The Soderberg Saga: Includes: The Bishop's Horse Race, Brother Brigham's Gold, Seven Days for Ruby, &amp; in Search of Steenie Bergman",Blaine M. Yorgason,1995,Deseret Book Co,http://images.amazon.com/images/P/0875799574.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875799574.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875799574.01.LZZZZZZZ.jpg
1575666464,Outwitting Toddlers,Bill Adler,2001,Kensington Publishing Corporation,http://images.amazon.com/images/P/1575666464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575666464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575666464.01.LZZZZZZZ.jpg
1567310036,Self Esteem,McKay,1997,MJF Books,http://images.amazon.com/images/P/1567310036.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567310036.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567310036.01.LZZZZZZZ.jpg
0312904436,Self-Esteem,Matthew McKay,1994,St. Martin's Press,http://images.amazon.com/images/P/0312904436.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312904436.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312904436.01.LZZZZZZZ.jpg
0879835397,The Book of Practical Aromatherapy,William H. Lee,1991,McGraw-Hill,http://images.amazon.com/images/P/0879835397.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0879835397.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0879835397.01.LZZZZZZZ.jpg
0234721731,The star of Hesiock (Dobson science fiction),John Rankine,1980,Dobson,http://images.amazon.com/images/P/0234721731.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0234721731.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0234721731.01.LZZZZZZZ.jpg
087542306X,Palmistry-The Whole View,Judith Hipskind,1981,Llewellyn Pubns,http://images.amazon.com/images/P/087542306X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/087542306X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/087542306X.01.LZZZZZZZ.jpg
1555173497,The Restored Gospel According to C.S. Lewis,Nathan Jensen,1998,Cedar Fort,http://images.amazon.com/images/P/1555173497.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1555173497.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1555173497.01.LZZZZZZZ.jpg
0964216728,Good Bye Ouchies and Grouchies  Hello Happy Feelings: Eft for Kids of All Ages,Lynne Namka,2003,Talk Trust &amp; Feel Pr,http://images.amazon.com/images/P/0964216728.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964216728.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964216728.01.LZZZZZZZ.jpg
1562362356,The Miracle of Forgetness,Robert F. Smith,1997,Brigham Distributing,http://images.amazon.com/images/P/1562362356.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1562362356.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1562362356.01.LZZZZZZZ.jpg
031211737X,Aerosmith: The Fall and the Rise of Rock's Greatest Band,Martin Huxley,1995,St. Martin's Press,http://images.amazon.com/images/P/031211737X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/031211737X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/031211737X.01.LZZZZZZZ.jpg
8430581901,Diccionario Infantil Imagenes (EdiciÃ³n bilingÃ¼e: espaÃ±ol-inglÃ©s),Margaret Menendez,1981,Susaeta,http://images.amazon.com/images/P/8430581901.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8430581901.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8430581901.01.LZZZZZZZ.jpg
0061065846,"The Case of the Summer Camp Caper (The New Adventures of Mary-Kate &amp; Ashley, No. 11)",Mary-Kate &amp; Ashley Olsen,1999,HarperEntertainment,http://images.amazon.com/images/P/0061065846.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061065846.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061065846.01.LZZZZZZZ.jpg
0590408445,Clifford Va De Viaje (Clifford the Big Red Dog (Spanish Paperback)),Norman Bridwell,1995,Scholastic,http://images.amazon.com/images/P/0590408445.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590408445.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590408445.01.LZZZZZZZ.jpg
0809242540,Ted Williams: A Baseball Life,Michael Seidel,1991,McGraw-Hill,http://images.amazon.com/images/P/0809242540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809242540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809242540.01.LZZZZZZZ.jpg
0394529065,The Magic of Dance,Margaret Dame Fonteyn,1984,Smithmark Pub,http://images.amazon.com/images/P/0394529065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394529065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394529065.01.LZZZZZZZ.jpg
0307020584,Jack and the beanstalk (A Little golden book),Stella Williams Nathan,1990,Western Pub. Co,http://images.amazon.com/images/P/0307020584.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0307020584.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0307020584.01.LZZZZZZZ.jpg
880435948X,Stupidario medico (Biblioteca umoristica Mondadori),Antonio Di Stefano,1992,A. Mondadori Editore,http://images.amazon.com/images/P/880435948X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/880435948X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/880435948X.01.LZZZZZZZ.jpg
0590254960,"A Bad, Bad Day (My First Hello Reader)",Kirsten Hall,1996,Cartwheel Books,http://images.amazon.com/images/P/0590254960.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590254960.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590254960.01.LZZZZZZZ.jpg
8804351128,"Pressappoco: Papere, bufale e altre bestialitÃ  dei giornalisti italiani (Ingrandimenti)",Onofrio Pirrotta,1992,A. Mondadori,http://images.amazon.com/images/P/8804351128.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8804351128.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8804351128.01.LZZZZZZZ.jpg
0590483692,"Soccer Game! (Hello Reader! (DO NOT USE, please choose level and binding))",Grace MacCarone,1994,Scholastic,http://images.amazon.com/images/P/0590483692.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590483692.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590483692.01.LZZZZZZZ.jpg
0141439955,Stancliffe's Hotel (Penguin Classics),Charlotte Bronte,2003,Penguin Books Ltd,http://images.amazon.com/images/P/0141439955.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0141439955.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0141439955.01.LZZZZZZZ.jpg
0895872625,Freedom's Altar,Charles F. Price,2002,John F. Blair Publisher,http://images.amazon.com/images/P/0895872625.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0895872625.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0895872625.01.LZZZZZZZ.jpg
0895652056,Love (Values to Live By),Jane Belk Moncure,1981,Childs World,http://images.amazon.com/images/P/0895652056.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0895652056.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0895652056.01.LZZZZZZZ.jpg
0888231350,Surprise Surprise,Maryleah Otto,1988,Firefly Books,http://images.amazon.com/images/P/0888231350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0888231350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0888231350.01.LZZZZZZZ.jpg
0871088223,Waist Deep in Montana's Lakes,John Holt,1992,Pruett Publishing Company,http://images.amazon.com/images/P/0871088223.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0871088223.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0871088223.01.LZZZZZZZ.jpg
0679886060,"Titanic Sinks! (Stepping Stone,  paper)",THOMAS CONKLIN,1997,Random House Books for Young Readers,http://images.amazon.com/images/P/0679886060.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679886060.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679886060.01.LZZZZZZZ.jpg
0446672238,New Women's Dress for Success,John T. Molloy,1996,Warner Books,http://images.amazon.com/images/P/0446672238.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446672238.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446672238.01.LZZZZZZZ.jpg
0803616015,Foot and Ankle Pain (Pain Series),Rene Cailliet,1982,Davis Publications,http://images.amazon.com/images/P/0803616015.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0803616015.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0803616015.01.LZZZZZZZ.jpg
0684801167,"You Mean I'm Not Lazy, Stupid or Crazy?! : A Self-Help Book for Adults with Attention Deficit Disorder",Kate Kelly,1995,Scribner,http://images.amazon.com/images/P/0684801167.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684801167.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684801167.01.LZZZZZZZ.jpg
0553282999,"If I'm So Wonderful, Why Am I Still Single?: Ten Strategies That Will Change Your Love Life Forever",Susan Page,1989,Bantam Books,http://images.amazon.com/images/P/0553282999.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553282999.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553282999.01.LZZZZZZZ.jpg
0864173008,Commercial Hydroponics: How to Grow 86 Different Plants in Hydroponics,John Mason,1993,Kangaroo Press,http://images.amazon.com/images/P/0864173008.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0864173008.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0864173008.01.LZZZZZZZ.jpg
0876668422,Taming and Training Conures,Risa Teitler,1988,Thomasson Grant &amp; Howell,http://images.amazon.com/images/P/0876668422.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0876668422.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0876668422.01.LZZZZZZZ.jpg
0743424123,The Troll King,John Vornholt,2002,Aladdin,http://images.amazon.com/images/P/0743424123.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743424123.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743424123.01.LZZZZZZZ.jpg
0025837508,Inc. Yourself: How to Profit by Setting Up Your Own Corporation,Judith H. McQuown,1989,MacMillan Publishing Company.,http://images.amazon.com/images/P/0025837508.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0025837508.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0025837508.01.LZZZZZZZ.jpg
