ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0060575808,"Two Princesses of Bamarre, The",Gail Carson Levine,2004,Eos,http://images.amazon.com/images/P/0060575808.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060575808.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060575808.01.LZZZZZZZ.jpg
0060558865,Ella Enchanted (rack),Gail Carson Levine,2004,Avon,http://images.amazon.com/images/P/0060558865.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060558865.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060558865.01.LZZZZZZZ.jpg
0767912918,Passing for Thin : Losing Half My Weight and Finding My Self,FRANCES KUFFEL,2004,Broadway,http://images.amazon.com/images/P/0767912918.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767912918.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767912918.01.LZZZZZZZ.jpg
0553298860,Bloodlines (Dog Lover's Mysteries),Susan Conant,1994,Bantam Books,http://images.amazon.com/images/P/0553298860.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553298860.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553298860.01.LZZZZZZZ.jpg
0385335679,Kissing in Manhattan,DAVID SCHICKLER,2002,Delta,http://images.amazon.com/images/P/0385335679.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335679.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335679.01.LZZZZZZZ.jpg
0440122090,Echoes,Maeve Binchy,1989,Dell,http://images.amazon.com/images/P/0440122090.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440122090.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440122090.01.LZZZZZZZ.jpg
0671525832,Someone to Watch Over Me : A Novel,Judith McNaught,2003,Pocket,http://images.amazon.com/images/P/0671525832.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671525832.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671525832.01.LZZZZZZZ.jpg
0553279572,The Toynbee Convector,Ray Bradbury,1989,Spectra Books,http://images.amazon.com/images/P/0553279572.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553279572.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553279572.01.LZZZZZZZ.jpg
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,http://images.amazon.com/images/P/0061009059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg
0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial,http://images.amazon.com/images/P/0060930187.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930187.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930187.01.LZZZZZZZ.jpg
0516076272,A polar bear called Pingo,Ilona Koidahl,1974,Childrens Press,http://images.amazon.com/images/P/0516076272.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0516076272.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0516076272.01.LZZZZZZZ.jpg
0679450432,Dark Lady,Richard North Patterson,1999,Alfred A. Knopf,http://images.amazon.com/images/P/0679450432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679450432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679450432.01.LZZZZZZZ.jpg
0821775863,The Future Scrolls,Fern Michaels,2003,Zebra Books,http://images.amazon.com/images/P/0821775863.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821775863.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821775863.01.LZZZZZZZ.jpg
0821770209,About Face,Fern Michaels,2003,Zebra Books,http://images.amazon.com/images/P/0821770209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821770209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821770209.01.LZZZZZZZ.jpg
0670855758,Tarot Says Beware (A Herculeah Jones Mystery),Betsy Byars,1995,Viking Books,http://images.amazon.com/images/P/0670855758.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670855758.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670855758.01.LZZZZZZZ.jpg
0553562819,Globalhead,Bruce Sterling,1994,Spectra Books,http://images.amazon.com/images/P/0553562819.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553562819.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553562819.01.LZZZZZZZ.jpg
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,http://images.amazon.com/images/P/0446364193.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
0446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,Warner Books,http://images.amazon.com/images/P/0446519138.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446519138.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446519138.01.LZZZZZZZ.jpg
0425179672,The River King,Alice Hoffman,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425179672.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425179672.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425179672.01.LZZZZZZZ.jpg
0061042943,Final Appeal,Lisa Scottoline,1994,HarperTorch,http://images.amazon.com/images/P/0061042943.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061042943.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061042943.01.LZZZZZZZ.jpg
0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper),http://images.amazon.com/images/P/0399144463.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399144463.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399144463.01.LZZZZZZZ.jpg
0965404560,Atonement,Ian McEwan,2002,Nan A. Talese,http://images.amazon.com/images/P/0965404560.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0965404560.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0965404560.01.LZZZZZZZ.jpg
006015781X,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987,Harpercollins,http://images.amazon.com/images/P/006015781X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006015781X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006015781X.01.LZZZZZZZ.jpg
0060930705,Someone to Watch Over Me : Stories,Richard Bausch,2000,Perennial,http://images.amazon.com/images/P/0060930705.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930705.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930705.01.LZZZZZZZ.jpg
0312206763,Stately Pursuits,Katie Fforde,1999,Griffin Trade Paperback,http://images.amazon.com/images/P/0312206763.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312206763.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312206763.01.LZZZZZZZ.jpg
0316116025,The Pinball Effect: How Renaissance Water Gardens Made the Carburetor Possible-And Other Journeys Through Knowledge (Pinball Effect),James Burke,1996,Little Brown &amp; Co,http://images.amazon.com/images/P/0316116025.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316116025.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316116025.01.LZZZZZZZ.jpg
0156013967,"My Father, Dancing (Harvest Book)",Bliss Broyard,2000,Harvest Books,http://images.amazon.com/images/P/0156013967.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156013967.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156013967.01.LZZZZZZZ.jpg
0385314019,Women on the Case,Sara Paretsky,1996,Bantam Dell Pub Group,http://images.amazon.com/images/P/0385314019.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385314019.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385314019.01.LZZZZZZZ.jpg
0743444167,New Cardiff,Charles Webb,2002,Washington Square Press,http://images.amazon.com/images/P/0743444167.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743444167.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743444167.01.LZZZZZZZ.jpg
0618231617,Almost: A Novel,Elizabeth Benedict,2002,Mariner Books,http://images.amazon.com/images/P/0618231617.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618231617.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618231617.01.LZZZZZZZ.jpg
1567920047,A Tally of Types: With Additions by Several Hands ; And With a New Introduction by Mike Parker,Stanley Morison,1999,David R. Godine Publisher,http://images.amazon.com/images/P/1567920047.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567920047.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567920047.01.LZZZZZZZ.jpg
0811203220,Stand Still Like the Hummingbird,Henry Miller,1962,New Directions Publishing Corporation,http://images.amazon.com/images/P/0811203220.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811203220.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811203220.01.LZZZZZZZ.jpg
1573229148,Crossing the Unknown Sea: Work As a Pilgrimage of Identity,David Whyte,2002,Riverhead Books,http://images.amazon.com/images/P/1573229148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573229148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573229148.01.LZZZZZZZ.jpg
0787955671,The Future of Leadership: Today's Top Leadership Thinkers Speak to Tomorrow's Leaders,Warren  Bennis,2001,Jossey-Bass,http://images.amazon.com/images/P/0787955671.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0787955671.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0787955671.01.LZZZZZZZ.jpg
0425174484,"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",Martha Beck,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425174484.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425174484.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425174484.01.LZZZZZZZ.jpg
0385496907,No Future Without Forgiveness,Desmond Mpilo Tutu,2000,Image,http://images.amazon.com/images/P/0385496907.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385496907.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385496907.01.LZZZZZZZ.jpg
0446523992,"A Call to Conscience : The Landmark Speeches of Dr. Martin Luther King, Jr.",Kris Shepard,2001,Warner Books,http://images.amazon.com/images/P/0446523992.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446523992.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446523992.01.LZZZZZZZ.jpg
0140185216,On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper),http://images.amazon.com/images/P/0140185216.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140185216.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140185216.01.LZZZZZZZ.jpg
0684717255,I And Thou,Martin Buber,1971,Free Press,http://images.amazon.com/images/P/0684717255.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684717255.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684717255.01.LZZZZZZZ.jpg
0486272745,The Prince (Dover Thrift Editions),NiccolÃ² Machiavelli,1992,Dover Publications,http://images.amazon.com/images/P/0486272745.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486272745.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486272745.01.LZZZZZZZ.jpg
8807120194,"Sarajevo, maybe (Anni Novanta/Feltrinelli)",Gianfranco Bettin,1994,Feltrinelli,http://images.amazon.com/images/P/8807120194.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8807120194.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8807120194.01.LZZZZZZZ.jpg
0062507249,Becoming a Man : Half a Life Story,Paul Monette,1993,HarperSanFrancisco,http://images.amazon.com/images/P/0062507249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062507249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062507249.01.LZZZZZZZ.jpg
0684801221,OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner,http://images.amazon.com/images/P/0684801221.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684801221.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684801221.01.LZZZZZZZ.jpg
1576737357,Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,2000,Multnomah,http://images.amazon.com/images/P/1576737357.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1576737357.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1576737357.01.LZZZZZZZ.jpg
0060083298,The Dominant Blonde,Alisa Kwitney,2002,Avon Trade,http://images.amazon.com/images/P/0060083298.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060083298.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060083298.01.LZZZZZZZ.jpg
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,http://images.amazon.com/images/P/0446672211.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books,http://images.amazon.com/images/P/0140293248.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140293248.01.LZZZZZZZ.jpg
0807070718,Rena's Promise: A Story of Sisters in Auschwitz,Rena Kornreich Gelissen,1996,Beacon Press,http://images.amazon.com/images/P/0807070718.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807070718.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807070718.01.LZZZZZZZ.jpg
0743213831,America the Beautiful: A Novel,Moon Unit Zappa,2001,Touchstone,http://images.amazon.com/images/P/0743213831.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743213831.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743213831.01.LZZZZZZZ.jpg
0345305477,Easy Travel to Other Planets,Ted Mooney,1982,Ballantine Books,http://images.amazon.com/images/P/0345305477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345305477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345305477.01.LZZZZZZZ.jpg
0061080519,The Mist and the Magic (Harper Monogram),Susan Wiggs,1993,Harper Mass Market Paperbacks,http://images.amazon.com/images/P/0061080519.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061080519.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061080519.01.LZZZZZZZ.jpg
0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books,http://images.amazon.com/images/P/0142000205.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142000205.01.LZZZZZZZ.jpg
0316735027,The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,2004,"Little, Brown",http://images.amazon.com/images/P/0316735027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316735027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316735027.01.LZZZZZZZ.jpg
193156146X,The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage Publishing,http://images.amazon.com/images/P/193156146X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/193156146X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/193156146X.01.LZZZZZZZ.jpg
015600710X,Strange Fits of Passion: A Novel,Anita Shreve,1999,Harvest Books,http://images.amazon.com/images/P/015600710X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/015600710X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/015600710X.01.LZZZZZZZ.jpg
0062517856,The Monk Downstairs: A Novel,Tim Farrington,2002,HarperSanFrancisco,http://images.amazon.com/images/P/0062517856.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062517856.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062517856.01.LZZZZZZZ.jpg
0679767789,Lost in Place: Growing Up Absurd in Suburbia,Mark Salzman,1996,Vintage Books USA,http://images.amazon.com/images/P/0679767789.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679767789.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679767789.01.LZZZZZZZ.jpg
0449911683,My Name Is Asher Lev,Chaim Potok,1996,Ballantine Books,http://images.amazon.com/images/P/0449911683.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449911683.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449911683.01.LZZZZZZZ.jpg
0425169626,Waking the Dead,Scott Spencer,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425169626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425169626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425169626.01.LZZZZZZZ.jpg
0449207757,Davita's Harp,Chaim Potok,1990,Fawcett Books,http://images.amazon.com/images/P/0449207757.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449207757.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449207757.01.LZZZZZZZ.jpg
0449245691,The Book of Lights,Chaim Potok,1997,Fawcett Books,http://images.amazon.com/images/P/0449245691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449245691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449245691.01.LZZZZZZZ.jpg
0140029400,The Mimic Men,V. S. Naipaul,1992,Penguin USA,http://images.amazon.com/images/P/0140029400.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140029400.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140029400.01.LZZZZZZZ.jpg
0140021566,The Mystic Masseur,V.S. Naipaul,1993,Penguin USA,http://images.amazon.com/images/P/0140021566.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140021566.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140021566.01.LZZZZZZZ.jpg
2253004022,Regain,Jean Giono,1987,LGF,http://images.amazon.com/images/P/2253004022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2253004022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2253004022.01.LZZZZZZZ.jpg
2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc,http://images.amazon.com/images/P/2253005274.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2253005274.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2253005274.01.LZZZZZZZ.jpg
225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,LGF,http://images.amazon.com/images/P/225300670X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/225300670X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/225300670X.01.LZZZZZZZ.jpg
2266084372,Pourquoi j'ai mangÃ?Â© mon pÃ?Â¨re,Lewis,2000,Pocket,http://images.amazon.com/images/P/2266084372.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2266084372.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2266084372.01.LZZZZZZZ.jpg
2070362388,Ravage,Rene Barjavel,0,Gallimard French,http://images.amazon.com/images/P/2070362388.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070362388.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070362388.01.LZZZZZZZ.jpg
2266029460,Voyage d'une parisienne Ã?Â  Lhassa,Alexandra David-NÃ?Â©el,1989,Pocket,http://images.amazon.com/images/P/2266029460.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2266029460.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2266029460.01.LZZZZZZZ.jpg
2253007102,Les Fleurs Du Mal,C. Baudelaire,1972,Livre De Poche French,http://images.amazon.com/images/P/2253007102.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2253007102.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2253007102.01.LZZZZZZZ.jpg
2070417743,Chroniques martiennes,Ray Bradbury,2002,Gallimard,http://images.amazon.com/images/P/2070417743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070417743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070417743.01.LZZZZZZZ.jpg
2266033689,Le Diable Au Corps,Raymond Radiguet,0,Presses Pocket French,http://images.amazon.com/images/P/2266033689.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2266033689.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2266033689.01.LZZZZZZZ.jpg
2070384349,La Faute de l'abbÃ?Â© Mouret,Emile Zola,1991,Gallimard,http://images.amazon.com/images/P/2070384349.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070384349.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070384349.01.LZZZZZZZ.jpg
